'ASSET_NAME'	'CLOSE'	'CHANGE'	'CHANGE%'	'VOLUME'	'OBROT'	'OPEN'	'MAX'	'MIN'	'DATETIME'	'RANKING'	'POPULARITY'	'POSTS'	'MARKET_TYPE'	'LIQUIDITY'
'VISTULA'	2.04	0.02	-1.0	148999	304263	2.04	2.0699999999999998	2.02	'04-15 17:30'	85	26.0	71	'GPW'	'srednia'
'VISTULA'	2.1400000000000001	0.10000000000000001	4.9000000000000004	489879	1040403	2.0600000000000001	2.1800000000000002	2.0499999999999998	'04-18 10:46'	87	23.0	73	'GPW'	'srednia'
'VISTULA'	2.1200000000000001	0.080000000000000002	3.8999999999999999	653341	1386881	2.0600000000000001	2.1800000000000002	2.0499999999999998	'04-18 12:46'	73	28.0	77	'GPW'	'srednia'
'VISTULA'	2.1200000000000001	0.080000000000000002	3.8999999999999999	761053	1615133	2.0600000000000001	2.1800000000000002	2.0499999999999998	'04-18 14:47'	67	31.0	77	'GPW'	'srednia'
'VISTULA'	2.0800000000000001	0.040000000000000001	2.0	870013	1844202	2.0600000000000001	2.1800000000000002	2.0499999999999998	'04-18 16:40'	63	33.0	79	'GPW'	'srednia'
'VISTULA'	2.0800000000000001	0.040000000000000001	2.0	904176	1915291	2.0600000000000001	2.1800000000000002	2.0499999999999998	'04-18 17:30'	41	48.0	79	'GPW'	'srednia'
'VISTULA'	2.1000000000000001	0.02	1.0	64032	135533	2.1000000000000001	2.1299999999999999	2.0899999999999999	'04-19 10:38'	41	48.0	80	'GPW'	'srednia'
'VISTULA'	2.1000000000000001	0.02	1.0	76641	161914	2.1000000000000001	2.1299999999999999	2.0800000000000001	'04-19 12:22'	50	41.0	80	'GPW'	'srednia'
'VISTULA'	2.1099999999999999	0.029999999999999999	1.3999999999999999	79534	167968	2.1000000000000001	2.1299999999999999	2.0800000000000001	'04-19 13:38'	60	37.0	81	'GPW'	'srednia'
'VISTULA'	2.1299999999999999	0.050000000000000003	2.3999999999999999	119818	253530	2.1000000000000001	2.1400000000000001	2.0800000000000001	'04-19 16:46'	63	36.0	81	'GPW'	'srednia'
'VISTULA'	2.1400000000000001	0.059999999999999998	2.8999999999999999	133278	282233	2.1000000000000001	2.1400000000000001	2.0800000000000001	'04-19 17:30'	64	35.0	74	'GPW'	'srednia'
'VISTULA'	2.1200000000000001	0.02	-0.90000000000000002	30120	64125	2.1400000000000001	2.1400000000000001	2.1099999999999999	'04-20 10:44'	65	34.0	75	'GPW'	'srednia'
'VISTULA'	2.1099999999999999	0.029999999999999999	-1.3999999999999999	52158	110726	2.1400000000000001	2.1400000000000001	2.1099999999999999	'04-20 12:38'	65	33.0	75	'GPW'	'srednia'
'VISTULA'	2.1000000000000001	0.040000000000000001	-1.8999999999999999	66541	141153	2.1400000000000001	2.1400000000000001	2.1000000000000001	'04-20 14:45'	69	32.0	76	'GPW'	'srednia'
'VISTULA'	2.1299999999999999	0.01	-0.5	88295	186993	2.1400000000000001	2.1400000000000001	2.1000000000000001	'04-20 16:25'	74	30.0	77	'GPW'	'srednia'
'VISTULA'	2.1099999999999999	0.029999999999999999	-1.3999999999999999	90586	191827	2.1400000000000001	2.1400000000000001	2.1000000000000001	'04-20 17:30'	86	24.0	69	'GPW'	'srednia'
'VISTULA'	2.0899999999999999	0.02	-0.90000000000000002	9725	20411	2.1099999999999999	2.1099999999999999	2.0899999999999999	'04-21 10:33'	88	23.0	69	'GPW'	'srednia'
'VISTULA'	2.0899999999999999	0.02	-0.90000000000000002	15895	33306	2.1099999999999999	2.1099999999999999	2.0899999999999999	'04-21 12:08'	90	23.0	69	'GPW'	'srednia'
'VISTULA'	2.0899999999999999	0.02	-0.90000000000000002	28577	59852	2.1099999999999999	2.1099999999999999	2.0899999999999999	'04-21 14:22'	87	23.0	69	'GPW'	'srednia'
'VISTULA'	2.1000000000000001	0.01	-0.5	39133	81978	2.1099999999999999	2.1099999999999999	2.0899999999999999	'04-21 16:35'	88	24.0	69	'GPW'	'srednia'
'VISTULA'	2.0899999999999999	0.02	-0.90000000000000002	52746	110440	2.1099999999999999	2.1099999999999999	2.0899999999999999	'04-21 17:30'	97	22.0	58	'GPW'	'srednia'
'VISTULA'	2.0899999999999999	0.02	-0.90000000000000002	52746	110440	2.1099999999999999	2.1099999999999999	2.0899999999999999	'04-21 17:30'	97	23.0	58	'GPW'	'srednia'
'VISTULA'	2.0899999999999999	0.02	-0.90000000000000002	52746	110440	2.1099999999999999	2.1099999999999999	2.0899999999999999	'04-21 17:30'	99	22.0	58	'GPW'	'srednia'
'VISTULA'	2.0899999999999999	0.02	-0.90000000000000002	52746	110440	2.1099999999999999	2.1099999999999999	2.0899999999999999	'04-21 17:30'	97	23.0	58	'GPW'	'srednia'
'VISTULA'	2.0899999999999999	0.02	-0.90000000000000002	52746	110440	2.1099999999999999	2.1099999999999999	2.0899999999999999	'04-21 17:30'	100	21.0	58	'GPW'	'srednia'
'VISTULA'	2.0899999999999999	0.02	-0.90000000000000002	52746	110440	2.1099999999999999	2.1099999999999999	2.0899999999999999	'04-21 17:30'	98	22.0	54	'GPW'	'srednia'
'VISTULA'	2.0899999999999999	0.02	-0.90000000000000002	52746	110440	2.1099999999999999	2.1099999999999999	2.0899999999999999	'04-21 17:30'	97	22.0	54	'GPW'	'srednia'
'VISTULA'	2.0899999999999999	0.02	-0.90000000000000002	52746	110440	2.1099999999999999	2.1099999999999999	2.0899999999999999	'04-21 17:30'	98	21.0	54	'GPW'	'srednia'
